,Nazwa,Energia (kj) porcja,Energia (kj) RI (%),Energia (kcal) porcja,Energia (kcal) RI (%),Tłuszcze (g) porcja,Tłuszcze (g) RI (%),Kwasy tłuszczowe nasycone (g) porcja,Kwasy tłuszczowe nasycone (g) RI (%),Węglowodany (g) porcja,Węglowodany (g) RI (%),Cukry (g) porcja,Cukry (g) RI (%),Błonnik (g) porcja,Białko (g) porcja,Białko (g) RI (%),Sól (g) porcja,Sól (g) RI (%)
0,Espresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Double Espresso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Kawa czarna mała,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Kawa czarna średnia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Kawa czarna duża,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Kawa z mlekiem mała,205,2,50,3,"2,6",4,"1,6",8,"3,9",2,4,4,0,"2,5",5,"0,08",1
6,Kawa z mlekiem średnia,247,3,59,3,3,4,2,10,5,2,5,6,0,3,6,0,0
7,Kawa z mlekiem duża,389,5,93,5,5,7,3,15,7,3,7,8,0,5,10,0,0
8,Café Latte małe,389,5,93,5,5,7,3,15,7,3,7,8,0,5,10,0,0
9,Café Latte średnie,477,6,114,6,6,9,4,20,9,3,9,10,0,6,12,0,0
10,Café Latte duże,602,7,144,7,8,11,5,25,11,4,11,12,0,7,14,0,0
11,Cappuccino małe,318,4,76,4,4,6,2,10,6,2,6,7,0,4,8,0,0
12,Cappuccino średnie,477,6,114,6,6,9,4,20,9,3,9,10,0,6,12,0,0
13,Cappuccino duże,602,7,144,7,8,11,5,25,11,4,11,12,0,7,14,0,0
14,Flat White małe,318,4,76,4,4,6,2,10,6,2,6,7,0,4,8,0,0
15,Flat White średnie,531,6,127,6,7,10,4,20,10,4,10,11,0,6,12,0,0
16,Caramel Latte Macchiato,1354,16,323,16,11,16,"7,1",35,46,18,31,34,0,"9,2",18,"0,45",8
17,Iced Latte,501,6,119,6,"6,4",9,"4,2",21,"9,2",4,"9,2",10,0,"6,3",13,"0,23",4
18,Iced Caramel Latte,999,12,238,12,"6,4",9,"4,2",21,39,15,39,43,0,"6,3",13,"0,24",4
