Nazwa,Energia (kj) 100g,Energia (kj) porcja,Energia (kj) RI (%),Energia (kcal) 100g,Energia (kcal) porcja,Energia (kcal) RI (%),Tłuszcze (g) 100g,Tłuszcze (g) porcja,Tłuszcze (g) RI (%),Kwasy tłuszczowe nasycone (g) 100g,Kwasy tłuszczowe nasycone (g) porcja,Kwasy tłuszczowe nasycone (g) RI (%),Węglowodany (g) 100g,Węglowodany (g) porcja,Węglowodany (g) RI (%),Cukry (g) 100g,Cukry (g) porcja,Cukry (g) RI (%),Błonnik (g) 100g,Błonnik (g) porcja,Białko (g) 100g,Białko (g) porcja,Białko (g) RI (%),Sól (g) 100g,Sól (g) porcja,Sól (g) RI (%)
Pomidor,76,13,"0,2",18,"3,1",0,"0,2","0,0","0,1","0,04","0,01",0,"2,6","0,4","0,2","2,5","0,4","0,5","1,0","0,2","1,0","0,2","0,3","0,01","0,00","0,02"
Sos majonezowy ,1003,199,"2,4",242,48,2,21,"4,2","5,9","1,6","0,3","1,6",12,"2,4","0,9","6,8","1,3","1,5","0,3","0,1","0,6","0,1","0,2","1,90","0,38","6,27"
Bekon ,2115,212,3,508,51,3,36,"3,6",5,17,"1,7",9,"4,1","0,4",0,"0,5","0,1",0,"0,0","0,0",41,"4,1",8,"2,6","0,26",4
Papryczki jalapeño 6 szt.,71,"8,5","0,1",17,"2,0",0,"0,2","0,0","0,0","0,1","0,0","0,0","2,4","0,3","0,1","1,3","0,2","0,2","1,5","0,2","0,5","0,1","0,1","1,30","0,16","2,60"
Sos pikantny z zielonym sosem chili ,1239,250,3,300,61,3,28,"5,7",8,"2,2","0,4",2,"8,9","1,8",1,"5,4","1,1",1,"0,8","0,2","1,7","0,3",1,"1,5","0,3",5
Rukola,143,"7,2","0,1",34,"1,7",0,"0,7","0,0","0,1","0,1","0,0","0,0","3,7","0,2","0,1","2,1","0,1","0,1","1,6","0,1","2,6","0,1","0,3","0,07","0,00","0,06"
Burger wołowy ,1119,980,"11,7",269,"235,6",12,"19,7","17,3","24,7","9,075","7,95","39,7","0,1","0,1","0,0","0,05","0,0","0,0","0,0","0,0","23,4","20,5","41,0","0,49","0,43","7,15"
Ser cheddar topiony ,1402,199,"2,4",338,48,2,26,"3,7","5,3",17,"2,5","12,4","7,0","1,0","0,4","3,5","0,5","0,6",0,0,19,"2,7","5,4","3,25","0,46","7,69"
Sałata lodowa krojona,63,13,"0,2",15,"3,2",0,"0,3","0,1","0,1","0,04","0,01","0,0",2,"0,4","0,2","1,58","0,3","0,4","1,0","0,2","0,8","0,2","0,3","0,03","0,01","0,11"
Cebula świeża,"124,9",9,"0,1","29,6","2,1",0,"0,2","0,0","0,0","0,09","0,01","0,0","5,1","0,4","0,1","4,45","0,3","0,3","1,9","0,1","1,1","0,1","0,1","0,01","0,00","0,01"
Sos musztardowo-chrzanowy ,2547,484,"5,8",618,"117,4",6,"67,0","12,7","18,2","5,2","0,99","4,9","3,7","0,7","0,3","3,4","0,6","0,7","1,5","0,3","1,9","0,4","0,7","1,55","0,29","4,91"
Pikle,40,"3,0","0,0",10,"0,8",0,0,0,"0,0",0,0,"0,0","1,4","0,1","0,0",0,0,"0,0","1,5","0,1","0,3","0,0","0,0","3,20","0,24","4,05"
Musztarda ,285,"2,1","0,0",69,"0,5",0,"4,2","0,0","0,0",0,0,"0,0","1,8","0,0","0,0","0,7","0,0","0,0","3,6","0,0","4,4","0,0","0,1","2,68","0,02","0,33"
Keczup,517,88,6,122,21,6,"0,1",0,0,0,0,0,27,"4,6",10,20,"3,4",22,"1,4","0,2","1,4","0,2",3,"2,2","0,38",37
Kurczak panierowany ,1029,886,"10,5",246,212,11,12,10,"14,3","1,4","1,2","6,0",18,15,"5,9","0,5","0,4","0,5","0,8","0,7",17,15,"29,3","1,05","0,90","15,07"
Sos pomidorowy z cebulą,601,137,"1,6",142,"32,5",2,"0,9","0,2","0,3","0,1","0,02","0,1","30,2","6,9","2,7","24,1","5,5","6,1","1,6","0,4","1,5","0,3","0,7","3,45","0,79","13,14"
Mięso wieprzowe,1355,645,"7,7",327,156,8,27,13,"18,5",11,"5,4","26,9","1,5","0,7","0,3","0,2","0,1","0,1",0,0,19,"9,0","18,1","1,55","0,74","12,30"
Jajko sadzone ,687,323,"3,8","164,8","77,5",4,"12,8","6,0","8,6","4,96","2,33","11,7","0,61","0,3","0,1","0,04","0,0","0,0","0,0","0,0","12,0","5,6","11,3","0,34","0,16","2,66"
Sos z przyprawami 30 ml ,1456,432,5,352,105,5,32,"9,5",14,"2,6","0,8",4,12,"3,6",1,"7,6","2,3",1,3,"0,1","0,8","0,2",0,"2,3","0,68",11
Sos z przyprawami 10 ml ,1456,144,2,352,35,2,32,"3,2",5,"2,6","0,3",1,12,"1,2",0,"7,6","0,8",1,"0,3","0,0","0,8","0,1",0,"2,3","0,23",4
Grzanki w saszetce ,1717,286,3,410,68,3,8,2,3,1,0,0,70,10,4,8,1,1,7,1,11,2,4,"2,2","0,3",5
Cebula czerwona,127,13,0,30,"3,0",0,"0,3","0,0",0,"0,1","0,0",0,"4,9","0,5",0,"4,9","0,5",1,"1,8","0,2","1,2","0,1",0,"0,01","0,00",0
Coca-Cola mała,174,452,5,41,106,5,0,0,0,0,0,0,10,26,10,10,26,29,0,0,0,0,0,0,0,0
Coca-Cola średnia,174,723,9,41,170,9,0,0,0,0,0,0,10,42,16,10,42,47,0,0,0,0,0,0,0,0
Coca-Cola duża,174,904,11,41,213,11,0,0,0,0,0,0,10,53,20,10,53,59,0,0,0,0,0,0,0,0
Coca-Cola Zero (mała 250 ml,1,3/4/5,0,0,1/1/2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fanta mała,176,457,5,41,106,5,0,0,0,0,0,0,"9,9",26,10,10,26,29,0,0,0,0,0,0,0,0
Fanta średnia,176,731,9,41,170,9,0,0,0,0,0,0,"9,9",41,16,10,41,46,0,0,0,0,0,0,0,0
Fanta duża,176,913,11,41,213,11,0,0,0,0,0,0,"9,9",51,20,10,51,57,0,0,0,0,0,0,0,0
Sprite mały,38,95,1,9,23,1,0,0,0,0,0,0,2,5,2,2,5,6,0,0,0,0,0,"0,02","0,05",1
Sprite średni,38,152,2,9,36,2,0,0,0,0,0,0,2,8,3,2,8,9,0,0,0,0,0,"0,02","0,08",1
Sprite duży,38,190,2,9,45,2,0,0,0,0,0,0,2,10,4,2,10,11,0,0,0,0,0,"0,02","0,1",2
Lipton Ice Tea Lemon mała,66,193,2,16,45,2,0,0,0,0,0,0,"3,4",11,4,"3,7",11,12,0,0,0,0,0,"0,02","0,05",1
Lipton Ice Tea Lemon średnia,66,308,4,16,72,4,0,0,0,0,0,0,"3,4",18,7,"3,7",17,19,0,0,0,0,0,"0,02","0,08",1
