Nazwa,Energia (kj) 100g,Energia (kj) porcja,Energia (kj) RI (%),Energia (kcal) 100g,Energia (kcal) porcja,Energia (kcal) RI (%),Tłuszcze (g) 100g,Tłuszcze (g) porcja,Tłuszcze (g) RI (%),Kwasy tłuszczowe nasycone (g) 100g,Kwasy tłuszczowe nasycone (g) porcja,Kwasy tłuszczowe nasycone (g) RI (%),Węglowodany (g) 100g,Węglowodany (g) porcja,Węglowodany (g) RI (%),Cukry (g) 100g,Cukry (g) porcja,Cukry (g) RI (%),Błonnik (g) 100g,Błonnik (g) porcja,Białko (g) 100g,Białko (g) porcja,Białko (g) RI (%),Sól (g) 100g,Sól (g) porcja,Sól (g) RI (%)
Hamburger ,1017,1063,13,242,253,13,"8,2","8,5",12,"3,2","3,4",17,29,30,12,"6,1","6,4",7,"1,8","1,9",12,13,26,"1,1","1,2",20
Cheeseburger ,1067,1266,15,254,302,15,10,12,18,"5,1",6,30,26,31,12,"5,8","6,9",8,"1,6","1,9",13,16,31,"1,4","1,6",27
Big Mac® ,960,2201,26,230,526,26,12,27,38,"4,4",10,50,19,43,16,"3,9","8,9",10,"1,5","3,4",12,27,53,"0,98","2,2",37
McRoyal® ,1066,2179,26,255,521,26,13,27,39,"6,6",14,68,18,37,14,"4,6","9,5",11,"1,1","2,2",15,32,63,"1,3","2,6",44
WieśMac® ,1064,2421,29,255,581,29,16,37,52,"5,3",12,60,14,33,13,"3,1","7,1",8,"1,1","2,5",13,30,59,"0,81","1,9",31
McChicken® ,956,1791,21,228,427,21,"9,3",17,25,"1,2","2,3",12,24,45,17,"3,4","6,4",7,"1,5","2,7",11,21,42,1,"1,9",32
Jalapeño Burger ,1067,1244,15,255,297,15,12,14,20,"3,3","3,9",19,25,29,11,"4,6","5,4",6,"1,5","1,7",11,13,27,"1,08","1,26",21
Chikker® ,1168,1780,21,279,425,21,13,20,29,"1,6","2,4",12,29,45,17,"4,8","7,3",8,"1,6","2,5","9,3",14,28,"1,1","1,6",27
Red Chikker ,951,1427,17,226,339,17,"6,5","9,7",14,"1,0","1,6",8,32,48,18,"6,1","9,2",10,"1,6","2,4","9,3",14,28,"1,3","1,9",32
McDouble® ,1049,1646,20,251,393,20,12,19,27,"5,8",9,45,19,31,12,"4,6","6,9",8,"1,3","1,9",15,24,47,"1,3",2,33
Podwójny McRoyal® ,1078,3177,38,258,761,38,15,45,64,"7,4",22,108,12,36,14,"3,4",10,11,"0,8","2,3",18,52,105,1,3,51
Podwójny WieśMac® ,1142,3896,46,274,934,47,19,65,93,"6,8",23,116,10,34,13,"2,4","8,2",9,"0,8","2,7",16,53,106,"0,85","2,9",48
McWrap® Klasyczny Chrupiący Kurczak ,877,2402,29,209,573,29,"8,6",24,34,"2,1","5,7",29,23,63,24,"3,5","9,6",11,"1,3","3,5","9,0",25,50,"1,3","3,4",57
McWrap® Bekon DeLuxe Chrupiący Kurczak ,1079,2929,35,258,701,35,14,37,53,"2,0","5,4",27,23,62,24,"2,9","7,8",9,"1,4","3,8","9,7",26,52,"1,2","3,1",52
Sałatka,110,161,2,27,39,2,"0,3","0,4",1,"0,0","0,0",0,"3,7","5,4",2,"2,1","3,1",3,"1,9","2,8","1,3","1,9",4,"0,04","0,06",1
Sałatka Kurczak Premium ,531,1349,16,127,323,16,"6,7",17,24,"2,2","5,5",28,"6,9",18,7,"1,4","3,6",4,"1,3","3,3","9,1",23,46,"0,52","1,3",22
Oliwa z oliwek,3367,615,7,819,150,7,91,17,24,15,"2,7",14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sos 1000 wysp ,839,342,4,203,83,4,20,8,11,"1,6","0,7",3,"6,7","2,7",1,5,2,2,"0,3","0,1","1,2","0,5",1,"1,5","0,61",10
Sos winegret ,1967,771,9,478,187,9,52,20,29,"3,6","1,4",7,"2,9","1,1",0,3,1,1,"0,5","0,2","0,3","0,1",0,"1,8","0,71",12
Sos jogurtowo-koperkowy o niskiej zawartości tłuszczu ,260,109,1,62,26,1,"1,4","0,6",1,"0,3","0,1",1,11,"4,4",2,"8,2","3,4",4,"0,4","0,2","1,1","0,5",1,"1,8","0,75",13
Kurczak McNuggets® (4 szt.) ,1043,747,9,249,179,9,13,"9,1",13,"1,5","1,1",6,17,12,5,"0,4","0,3",0,"1,3","0,9",16,11,22,"1,2","0,85",14
Kurczak McNuggets® (6 szt.) ,1043,1120,13,249,268,13,13,14,20,"1,5","1,7",8,17,19,7,"0,4","0,4",0,"1,3","1,4",16,17,34,"1,2","1,3",21
Kurczak McNuggets® (9 szt.) ,1043,1680,20,249,402,20,13,21,29,"1,5","2,5",12,17,28,11,"0,4","0,6",1,"1,3","2,1",16,25,51,"1,2","1,9",32
Kurczak McNuggets® (20 szt.) ,1043,3734,44,249,893,45,13,46,65,"1,5","5,5",28,17,62,24,"0,4","1,4",2,"1,3","4,6",16,56,112,"1,2","4,2",71
