Nazwa,Energia (kj) 100g,Energia (kj) porcja,Energia (kj) RI (%),Energia (kcal) 100g,Energia (kcal) porcja,Energia (kcal) RI (%),Tłuszcze (g) 100g,Tłuszcze (g) porcja,Tłuszcze (g) RI (%),Kwasy tłuszczowe nasycone (g) 100g,Kwasy tłuszczowe nasycone (g) porcja,Kwasy tłuszczowe nasycone (g) RI (%),Węglowodany (g) 100g,Węglowodany (g) porcja,Węglowodany (g) RI (%),Cukry (g) 100g,Cukry (g) porcja,Cukry (g) RI (%),Błonnik (g) 100g,Błonnik (g) porcja,Białko (g) 100g,Białko (g) porcja,Białko (g) RI (%),Sól (g) 100g,Sól (g) porcja,Sól (g) RI (%)
McWrap® Tenders & Garlic,1074,2919,35,257,699,35,15,42,60,"2,5","6,7",34,19,52,20,"1,3","3,5",4,"1,4","3,8","9,7",26,52,"1,2","3,1",52
Chrupiące łódeczki,1150,1718,20,274,409,20,12,18,26,"1,2","1,8",9,37,56,21,"0,2","0,3",0,"2,7",4,3,"4,5",9,"0,55","0,82",14
McCrispy®,1035,2405,29,247,574,29,11,25,36,1,"2,3",11,24,57,22,"4,6",11,12,"1,7","3,9",12,28,55,"0,96","2,2",37
McCrispy Supreme,876,2443,29,209,582,29,"7,6",21,30,"1,5","4,3",22,23,64,25,"6,1",17,19,"1,7","4,8",11,31,62,"1,2","3,3",55
Maestro Grand Classic,932,2865,34,223,685,34,12,37,53,"4,4",14,68,15,45,17,"4,3",13,15,"1,1","3,3",13,39,79,1,"3,1",52
Maestro Bacon & Cheddar,963,3014,36,257,804,40,12,39,56,"6,1",19,96,15,47,18,"4,4",14,15,1,"3,1",15,46,91,"1,1","3,4",56
McCrispy Tenders 3 szt.,1117,1508,18,267,360,18,14,19,27,"1,5","2,1",10,17,22,9,0,0,0,"1,2","1,6",19,25,51,"1,5","2,1",35
McCrispy Tenders 5 szt.,1117,2513,30,267,601,30,14,32,45,"1,5","3,4",17,17,37,14,0,0,0,"1,2","2,7",19,42,85,"1,5","3,5",58
McCrispy Tenders 6 szt.,1117,3016,36,267,721,36,14,38,54,"1,5","4,1",21,17,45,17,0,0,0,"1,2","3,2",19,51,102,"1,5","4,2",69
Veggie Burger,865,2289,27,207,548,27,11,29,41,"2,6","6,8",34,20,53,20,"4,8",13,14,"2,9","7,7","5,8",15,30,"1,3","3,4",57
Veggie McWrap,884,2499,30,212,599,30,11,32,45,"2,7","7,6",38,21,59,23,"3,1","8,9",10,"2,7","7,8","5,5",16,31,"1,4","3,9",65
McFlurry® truskawkowe z posypką KitKat® White i polewą truskawkową,728,1446,17,172,342,17,"2,9","5,7",8,"1,7","3,3",16,34,67,26,28,55,61,"0,6","1,2","2,3","4,7",9,"0,09","0,18",3
McFlurry® o smaku waniliowym z posypką KitKat® White i polewą truskawkową,782,1553,18,186,369,18,"5,3",10,15,"3,3","6,6",33,31,62,24,26,51,57,"0,4","0,8","3,2","6,4",13,"0,13","0,25",4
Ciastko truskawkowe,1029,823,10,245,196,10,"9,2","7,4",11,"4,4","3,5",18,37,29,11,14,11,12,"1,2",1,"3,8",3,6,"0,38","0,31",5
Lody o smaku waniliowym w kubku plastikowym z polewą o smaku czekoladowym,774,1171,14,184,278,14,"5,4","8,2",12,"4,2","6,4",32,30,45,17,27,42,46,"0,8","1,3","3,6","5,5",11,"0,25","0,38",6
Lody o smaku waniliowym w kubku plastikowym z polewą truskawkową,640,959,11,152,227,11,"2,7","4,1",6,"1,9","2,8",14,29,43,17,25,37,41,"0,4","0,6","2,8","4,1",8,"0,11","0,16",3
Lody o smaku waniliowym w kubku plastikowym z polewą karmelową,786,1207,14,186,286,14,"3,9","6,1",9,"2,7","4,1",20,35,53,20,25,38,42,0,0,3,"4,7",9,"0,18","0,28",5
